module,type,name,res_id,src,value
xpr_dealer,view,res.partner,xpr_dealer.view_partner_form,Code,Code
xpr_dealer,field,"res.partner,code",0,Code,Code
xpr_dealer,view,xpr_dealer.dealer,xpr_dealer.view_dealer_form,Country,Pays
xpr_dealer,field,"xpr_dealer.dealer,create_uid",0,Created by,Créé par
xpr_dealer,field,"xpr_dealer.dealer,create_date",0,Created on,Créé le
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_customer,Customer,Client
xpr_dealer,field,"xpr_dealer.dealer,customer",0,Customer of,Client de
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_cote_nord,Côte-Nord,Côte-Nord
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_daewoo,Daewoo,Daewoo
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer,Dealer,Concessionnaire
xpr_dealer,view,xpr_dealer.dealer,xpr_dealer.view_dealer_form,Dealer,Concessionnaire
xpr_dealer,model,"ir.actions.act_window,name",xpr_dealer.dealer_category_action,Dealer Tags,Étiquettes de concessionnaires
xpr_dealer,model,"ir.ui.menu,name",xpr_dealer.dealer_category_menu,Dealer Tags,Étiquettes de concessionnaires
xpr_dealer,field,"res.partner,dealer",0,Dealer Info,Info du concessionnaire
xpr_dealer,model,"ir.actions.act_window,name",xpr_dealer.dealer_action,Dealers,Concessionnaires
xpr_dealer,model,"ir.ui.menu,name",xpr_dealer.dealer_menu,Dealers,Concessionnaires
xpr_dealer,model,"ir.actions.act_window,name",xpr_dealer.dealer_team_action,Team Dealers,Concessionnaires Équipe
xpr_dealer,model,"ir.ui.menu,name",xpr_dealer.dealer_team_menu,Team,Équipe
xpr_dealer,model,"ir.actions.act_window,name",xpr_dealer.dealer_all_action,All Dealers,Tous Concessionnaires
xpr_dealer,model,"ir.ui.menu,name",xpr_dealer.dealer_all_menu,All,Tous
xpr_dealer,field,"xpr_dealer.dealer,owner",0,Dealership Owner,Propriétaire du concessionnaire
xpr_dealer,field,"xpr_dealer.dealer,owneremail",0,Dealership Owner Email,Courriel du propriétaire du concessionnaire
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_derbi,Derbi,Derbi
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_dodge,Dodge,Dodge
xpr_dealer,selection,"xpr_dealer.dealer,site_type",0,Does not have a website,N'a pas de site web
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_drumheller,Drumheller (div#5),Drumheller (div#5)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_ducati,Ducati,Ducati
