module,type,name,res_id,src,value
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_montreal_res_partner_category,Montréal,Montréal
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_monteregie_res_partner_category,Montérégie,Montérégie
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_moose_factory_res_partner_category,Moose Factory,Moose Factory
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_niagara_falls_res_partner_category,Niagara Falls,Niagara Falls
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_nord_du_quebec_res_partner_category,Nord-du-Québec,Nord-du-Québec
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_north_bay_res_partner_category,North Bay,North Bay
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_ottawa_res_partner_category,Ottawa,Ottawa
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_outaouais_res_partner_category,Outaouais,Outaouais
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_owen_sound_res_partner_category,Owen Sound,Owen Sound
xpr_xis_connector,model,"ir.model,name",xpr_xis_connector.model_res_partner,Partner,Partenaire
xpr_xis_connector,model,"ir.model,name",xpr_xis_connector.model_res_partner_category,Partner Tags,Étiquettes du partenaire
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_quebec_res_partner_category,Québec,Québec
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_red_deer_res_partner_category,Red Deer (div#8),Red Deer (div#8)
xpr_xis_connector,field,"xpr_xis_connector.dealer.region,region_code",0,Region Code,Code de la région
xpr_xis_connector,field,"res.partner.category,region",0,Region Info,Info sur la région
xpr_xis_connector,model,"ir.actions.act_window,name",xpr_xis_connector.region_action,Regions,Régions
xpr_xis_connector,model,"ir.ui.menu,name",xpr_xis_connector.dealer_region_menu,Regions,Régions
xpr_xis_connector,field,"sale.order,renew_date",0,Renew Date,Date de renouvellement
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_rocky_mountain_house_res_partner_category,Rocky Mountain House (div#9),Rocky Mountain House (div#9)
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_saguenay_lac_st_jean_res_partner_category,Saguenay/Lac-St-Jean,Saguenay/Lac-St-Jean
xpr_xis_connector,model,"ir.model,name",xpr_xis_connector.model_sale_order,Sales Order,Bon de commande
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_sarnia_res_partner_category,Sarnia,Sarnia
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_sault_ste_marie_res_partner_category,Sault Ste. Marie,Sault Ste-Marie
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_slave_lake_res_partner_category,Slave Lake (div #17),Slave Lake (div #17)
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_st_paul_res_partner_category,St. Paul (div#12),St-Paul (div#12)
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_stettler_res_partner_category,Stettler (div#7),Stettler (div#7)
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_sudbury_res_partner_category,Sudbury,Sudbury
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_thunder_bay_res_partner_category,Thunder Bay,Thunder Bay
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_timmins_res_partner_category,Timmins,Timmins
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_toronto_res_partner_category,Toronto,Toronto
xpr_xis_connector,model,"ir.model,name",xpr_xis_connector.model_res_users,Users,Utilisateurs
xpr_xis_connector,model,"res.partner.category,name",xpr_xis_connector.category_dealer_region_windsor_res_partner_category,Windsor,Windsor
xpr_xis_connector,field,"xpr_xis_connector.dealer.certification,xis_certification_id",0,XIS Certification ID,XIS Certification ID
xpr_xis_connector,field,"res.users,xis_user_external_id",0,XIS external user,Utilisateur externe XIS
xpr_xis_connector,field,"sale.order,category",0,Category,Catégorie
