module,type,name,res_id,src,value
xpr_sale_process,model,"ir.model,name",xpr_sale_process.model_product_template,Product Template,Modèle d'article
xpr_sale_process,model,"email.template,subject",xpr_sale_process.opportunity_reminder_mail,Reminder on Lead: ${object.id} from ${object.partner_id != False and object.partner_id.name or object.contact_name},Rappel : ${object.id} from ${object.partner_id != False and object.partner_id.name or object.contact_name}
xpr_sale_process,view,sale.order,xpr_sale_process.sale_order_search,Renewal Month,Renewal Month
xpr_sale_process,view,sale.order,xpr_sale_process.sale_order_xprima_sale_process_view,Reopen,Reopen
xpr_sale_process,model,"email.template,subject",xpr_sale_process.quotation_availability_reopen_mail,Reopened: Quotation in Availability Check for ${object.partner_id != False and object.partner_id.name or object.contact_name},Réouverture : Soumission en attente d'approbation de disponibilité pour ${object.partner_id != False and object.partner_id.name or object.contact_name}
xpr_sale_process,model,"ir.model,name",xpr_sale_process.model_sale_order,Sales Order,Bon de commande
xpr_sale_process,model,"ir.actions.server,name",xpr_sale_process.opportunity_reminder_action,Send Mail,Send Mail
xpr_sale_process,view,sale.order,xpr_sale_process.sale_order_xprima_sale_process_view,Send for Approval,Send for Approval
xpr_sale_process,model,"ir.actions.server,help",xpr_sale_process.opportunity_reminder_action,Sends opportunity action mail reminder,Sends opportunity action mail reminder
xpr_sale_process,field,"crm.lead,solution",0,Solution,Solution
xpr_sale_process,field,"crm.make.sale,solution",0,Solution,Solution
xpr_sale_process,model,"ir.actions.client,name",xpr_sale_process.action_team_opportunity,Team Opportunity Notes,Team Opportunity Notes
xpr_sale_process,model,"ir.ui.menu,name",xpr_sale_process.menu_team_opportunities,Team Opportunity Notes,Notes de l'équipe
xpr_sale_process,model,"ir.ui.menu,name",xpr_sale_process.menu_terms_menuitem,Terms,Terms
xpr_sale_process,model,"email.template,body_html",xpr_sale_process.quotation_availability_refused,"The advertising quotation was declined: <a href=""${object.form_url|safe}"">${object.name}</a><br/>Advertising team notes:<br/>${ctx.get('message','')}","Ce devis de pub a ete refusé: <a href=""${object.form_url|safe}"">${object.name}</a><br>Notes de l'équipe de pub:<br>${ctx.get('message','')}"
xpr_sale_process,model,"res.groups,comment",xpr_sale_process.discount_all,The user has rights to approve all orders with discounts. Use Manager group to approve orders from own team,The user has rights to approve all orders with discounts. Use Manager group to approve orders from own team
xpr_sale_process,model,"res.groups,comment",xpr_sale_process.advertising,The user is responsible of approving quotes with advertising products,The user is responsible of approving quotes with advertising products
xpr_sale_process,model,"res.groups,comment",xpr_sale_process.create_company,This group Permits a user to create a company.,This group Permits a user to create a company.
xpr_sale_process,model,"res.groups,comment",xpr_sale_process.rep_ui,This group changes the UI. For reps only.,This group changes the UI. For reps only.
xpr_sale_process,model,"res.groups,comment",xpr_sale_process.group_hidden,This group permits hiding stuff. Keep it empty.,This group permits hiding stuff. Keep it empty.
